candidate_id,channels,kernels,dropout,learning_rate,batch_size,weight_decay,epochs,patience,Threshold,Accuracy,Precision,Recall,F1-score,ROC-AUC,val_Accuracy,val_Precision,val_Recall,val_F1-score,val_ROC-AUC,best_val_auc_from_training,best_epoch,train_seconds,test_positive_predictions
R10,"(64, 128, 128)","(8, 5, 3)",0.0,0.001,128,0.0001,50,10,0.54,0.9293478260869565,0.9647058823529412,0.8913043478260869,0.9265536723163842,0.9817958412098299,0.9456521739130435,0.9767441860465116,0.9130434782608695,0.9438202247191011,0.9899870037807184,0.9899870037807184,33,41.133567810058594,425
R02,"(32, 64, 128)","(8, 5, 3)",0.0,0.001,128,0.0001,50,10,0.57,0.9228260869565217,0.933184855233853,0.9108695652173913,0.9218921892189219,0.9780009451795841,0.9483695652173914,0.9459459459459459,0.9510869565217391,0.948509485094851,0.9888055293005671,0.9888055293005671,24,23.31345796585083,449
R11,"(64, 128, 128)","(8, 5, 3)",0.0,0.0005,64,0.0001,50,10,0.39,0.9391304347826087,0.9316239316239316,0.9478260869565217,0.9396551724137931,0.9822778827977316,0.9483695652173914,0.9230769230769231,0.9782608695652174,0.9498680738786279,0.9884806238185255,0.9884806238185255,23,34.199697732925415,468
R03,"(32, 64, 128)","(8, 5, 3)",0.0,0.0005,64,0.0001,50,10,0.64,0.9217391304347826,0.9092827004219409,0.9369565217391305,0.9229122055674518,0.9767013232514178,0.9483695652173914,0.9459459459459459,0.9510869565217391,0.948509485094851,0.9876831285444234,0.9876831285444234,19,22.18908953666687,474
R08,"(32, 64, 128)","(8, 5, 3)",0.1,0.0005,128,0.0001,50,10,0.22,0.933695652173913,0.9327548806941431,0.9347826086956522,0.9337676438653637,0.9759404536862004,0.9429347826086957,0.9222797927461139,0.967391304347826,0.9442970822281167,0.9866788752362948,0.9866788752362948,50,34.961862087249756,461
R01,"(32, 64, 128)","(8, 5, 3)",0.0,0.001,64,0.0001,50,10,0.83,0.9184782608695652,0.930648769574944,0.9043478260869565,0.9173098125689085,0.9754489603024575,0.9375,0.9497206703910615,0.9239130434782609,0.9366391184573003,0.9859699905482042,0.9859699905482042,19,24.940433979034424,447
R12,"(64, 128, 128)","(8, 5, 3)",0.0,0.0005,128,0.0001,50,10,0.57,0.925,0.9373601789709173,0.9108695652173913,0.9239250275633958,0.9791115311909263,0.9456521739130435,0.9505494505494505,0.9402173913043478,0.9453551912568307,0.9855860113421551,0.9855860113421551,24,32.72891664505005,447
R04,"(32, 64, 128)","(8, 5, 3)",0.0,0.0005,128,0.0001,50,10,0.69,0.9163043478260869,0.9592326139088729,0.8695652173913043,0.9122006841505131,0.9780812854442344,0.9456521739130435,0.9659090909090909,0.9239130434782609,0.9444444444444444,0.9847294423440454,0.9847294423440454,15,16.7296359539032,417
R13,"(64, 128, 128)","(8, 5, 3)",0.1,0.001,64,0.0001,50,10,0.67,0.9206521739130434,0.9367945823927766,0.9021739130434783,0.9191583610188261,0.9756427221172022,0.9320652173913043,0.9344262295081968,0.9293478260869565,0.9318801089918256,0.9846703686200379,0.9846703686200379,50,54.626418590545654,443
R16,"(64, 128, 128)","(8, 5, 3)",0.1,0.0005,128,0.0001,50,10,0.1,0.9315217391304348,0.9627039627039627,0.8978260869565218,0.9291338582677166,0.9799054820415879,0.9293478260869565,0.9540229885057471,0.9021739130434783,0.9273743016759777,0.9844931474480152,0.9844931474480152,49,50.27671718597412,429
R06,"(32, 64, 128)","(8, 5, 3)",0.1,0.001,128,0.0001,50,10,0.41,0.933695652173913,0.9716312056737588,0.8934782608695652,0.9309173272933182,0.9770179584120983,0.9347826086956522,0.9705882352941176,0.8967391304347826,0.9322033898305084,0.983961483931947,0.983961483931947,30,28.10952663421631,423
R09,"(64, 128, 128)","(8, 5, 3)",0.0,0.001,64,0.0001,50,10,0.49,0.9293478260869565,0.9498861047835991,0.9065217391304348,0.9276974416017798,0.976758034026465,0.9456521739130435,0.9659090909090909,0.9239130434782609,0.9444444444444444,0.9838137996219282,0.9838137996219282,20,31.066294193267822,439
R14,"(64, 128, 128)","(8, 5, 3)",0.1,0.001,128,0.0001,50,10,0.79,0.9228260869565217,0.9293598233995585,0.9152173913043479,0.9222343921139102,0.9761814744801512,0.9375,0.9351351351351351,0.9402173913043478,0.9376693766937669,0.9836365784499055,0.9836365784499055,25,35.19755792617798,453
R05,"(32, 64, 128)","(8, 5, 3)",0.1,0.001,64,0.0001,50,10,0.86,0.9152173913043479,0.9134199134199135,0.9173913043478261,0.9154013015184381,0.9744423440453686,0.9320652173913043,0.9206349206349206,0.9456521739130435,0.9329758713136729,0.9827209357277884,0.9827209357277884,19,22.86963653564453,462
R15,"(64, 128, 128)","(8, 5, 3)",0.1,0.0005,64,0.0001,50,10,0.83,0.9195652173913044,0.9346846846846847,0.9021739130434783,0.918141592920354,0.974569943289225,0.9320652173913043,0.9392265193370166,0.9239130434782609,0.9315068493150684,0.9814803875236294,0.9814803875236294,16,28.26429009437561,444
R07,"(32, 64, 128)","(8, 5, 3)",0.1,0.0005,64,0.0001,50,10,0.72,0.9217391304347826,0.9127659574468086,0.9326086956521739,0.9225806451612903,0.9738279773156899,0.9266304347826086,0.9067357512953368,0.9510869565217391,0.9283819628647215,0.980594281663516,0.980594281663516,19,22.96121120452881,470
