rank,candidate_id,channels,kernel_size,dropout,fc_hidden,batch_size,lr,weight_decay,max_epochs,patience,threshold,val_Accuracy,val_Precision,val_Recall,val_F1-score,val_ROC-AUC,Accuracy,Precision,Recall,F1-score,ROC-AUC,best_val_auc_from_training,best_epoch,train_seconds
1,tcn_grid_07,"(32, 64, 128)",5,0.1,64,64,0.001,0.0001,50,10,0.9,0.9510869565217391,0.9770114942528736,0.9239130434782609,0.9497206703910615,0.9911980151228733,0.9315217391304348,0.9670588235294117,0.8934782608695652,0.9288135593220339,0.9824480151228734,0.9911980151228733,31,22.649564504623413
2,tcn_grid_08,"(32, 64, 128)",5,0.2,64,64,0.001,0.0001,50,10,0.66,0.9592391304347826,0.9518716577540107,0.967391304347826,0.9595687331536388,0.9909617202268431,0.941304347826087,0.9551569506726457,0.9260869565217391,0.9403973509933775,0.9836531190926275,0.9909617202268431,48,27.614954710006714
3,tcn_grid_03,"(16, 32, 64)",5,0.1,64,64,0.001,0.0001,50,10,0.88,0.9592391304347826,0.9668508287292817,0.9510869565217391,0.958904109589041,0.9883034026465027,0.9380434782608695,0.9632183908045977,0.9108695652173913,0.9363128491620112,0.9806427221172024,0.9883034026465027,50,16.163200616836548
4,tcn_grid_04,"(16, 32, 64)",5,0.2,64,64,0.001,0.0001,50,10,0.73,0.9375,0.9707602339181286,0.9021739130434783,0.9352112676056338,0.9801807655954631,0.9260869565217391,0.9734299516908212,0.8760869565217392,0.9221967963386728,0.9803969754253308,0.9801807655954631,49,16.215036153793335
5,tcn_grid_06,"(32, 64, 128)",3,0.2,64,64,0.001,0.0001,50,10,0.64,0.9239130434782609,0.9285714285714286,0.9184782608695652,0.9234972677595629,0.97359404536862,0.9108695652173913,0.9315068493150684,0.8869565217391304,0.9086859688195991,0.9648251417769377,0.97359404536862,43,24.27220582962036
6,tcn_grid_05,"(32, 64, 128)",3,0.1,64,64,0.001,0.0001,50,10,0.56,0.9293478260869565,0.9340659340659341,0.9239130434782609,0.9289617486338798,0.9732986767485822,0.9239130434782609,0.9431818181818182,0.9021739130434783,0.9222222222222223,0.9682136105860113,0.9732986767485822,20,14.354458570480347
7,tcn_grid_01,"(16, 32, 64)",3,0.1,64,64,0.001,0.0001,50,10,0.88,0.9184782608695652,0.9375,0.8967391304347826,0.9166666666666666,0.9717036862003781,0.9021739130434783,0.9302325581395349,0.8695652173913043,0.898876404494382,0.962726843100189,0.9717332230623819,30,15.29740309715271
8,tcn_grid_02,"(16, 32, 64)",3,0.2,64,64,0.001,0.0001,50,10,0.88,0.9130434782608695,0.9470588235294117,0.875,0.9096045197740112,0.9659735349716446,0.8967391304347826,0.9254079254079254,0.8630434782608696,0.8931383577052868,0.9575330812854442,0.9659735349716446,43,14.936612844467163
